# 2023-01-10T14:05:24+00:00
# Header Rows: 22
# File Format: 2
# Device: mini
# Serial: S9332
# Firmware: 1035
# Software: 1.0.3
# Sensitivity: 10
# PMT Gain: 1
# Scanrange [ps]: 5000
# Average: 0
# Triggermode: OFF
# Triggerfrequency [Hz]: 0
# ACFFWHM [ps]: 0.265
# Fittype: Gaussian
# Fit Pulse Duration [ps]: 0.188
# FWHM Valid: TRUE
# FIT MSE: 3.407087568636E-7
# Amplitude: 0.094469
# ==========
Delay[ps]	Intensity [arb.u.]	Fit [arb.u.]
-2.752836422887E+0	4.600852027144E-3	5.457068591844E-3
-2.752619248270E+0	5.318416104772E-3	5.457068591844E-3
-2.752400305370E+0	5.867141575899E-3	5.457068591844E-3
-2.752179596336E+0	5.149577498271E-3	5.457068591844E-3
-2.751957123320E+0	5.698302969398E-3	5.457068591844E-3
-2.751732888472E+0	5.022948543396E-3	5.457068591844E-3
-2.751506893943E+0	5.318416104772E-3	5.457068591844E-3
-2.751279141884E+0	4.980738891770E-3	5.457068591844E-3
-2.751049634445E+0	5.571674014523E-3	5.457068591844E-3
-2.750818373779E+0	5.107367846646E-3	5.457068591844E-3
-2.750585362034E+0	5.318416104772E-3	5.457068591844E-3
-2.750350601363E+0	5.445045059647E-3	5.457068591844E-3
-2.750114093915E+0	5.613883666148E-3	5.457068591844E-3
-2.749875841843E+0	5.191787149896E-3	5.457068591844E-3
-2.749635847295E+0	4.811900285270E-3	5.457068591844E-3
-2.749394112424E+0	6.247028440526E-3	5.457068591844E-3
-2.749150639380E+0	5.740512621024E-3	5.457068591844E-3
-2.748905430314E+0	5.487254711272E-3	5.457068591844E-3
-2.748649936650E+0	6.120399485650E-3	5.457068591844E-3
-2.748378028436E+0	5.402835408022E-3	5.457068591844E-3
-2.748165587117E+0	4.769690633645E-3	5.457068591844E-3
-2.747905894266E+0	5.993770530775E-3	5.457068591844E-3
-2.747639864286E+0	6.415867047026E-3	5.457068591844E-3
-2.747383376601E+0	6.415867047026E-3	5.457068591844E-3
-2.747109993709E+0	5.233996801521E-3	5.457068591844E-3
-2.746866034454E+0	5.107367846646E-3	5.457068591844E-3
-2.746615081675E+0	4.727480982019E-3	5.457068591844E-3
-2.746314774220E+0	4.643061678769E-3	5.457068591844E-3
-2.746088725375E+0	5.149577498271E-3	5.457068591844E-3
-2.745804187130E+0	5.909351227524E-3	5.457068591844E-3
-2.745534646247E+0	5.022948543396E-3	5.457068591844E-3
-2.745285117870E+0	5.022948543396E-3	5.457068591844E-3
-2.744991446065E+0	5.698302969398E-3	5.457068591844E-3
-2.744753041850E+0	5.529464362898E-3	5.457068591844E-3
-2.744458498109E+0	5.867141575899E-3	5.457068591844E-3
-2.744167081325E+0	5.233996801521E-3	5.457068591844E-3
-2.743954696218E+0	4.263174814142E-3	5.457068591844E-3
-2.743664635753E+0	5.698302969398E-3	5.457068591844E-3
-2.743375570007E+0	5.445045059647E-3	5.457068591844E-3
-2.743110745747E+0	5.571674014523E-3	5.457068591844E-3
-2.742819655299E+0	5.867141575899E-3	5.457068591844E-3
-2.742559754123E+0	4.178755510892E-3	5.457068591844E-3
