# 2023-01-06T12:17:33+00:00
# Header Rows: 22
# File Format: 2
# Device: mini
# Serial: S9332
# Firmware: 1035
# Software: 1.0.3
# Sensitivity: 10
# PMT Gain: 1
# Scanrange [ps]: 5000
# Average: 0
# Triggermode: OFF
# Triggerfrequency [Hz]: 0
# ACFFWHM [ps]: 0.262
# Fittype: Gaussian
# Fit Pulse Duration [ps]: 0.190
# FWHM Valid: FALSE (No Signal)
# FIT MSE: 3.185014370144E-7
# Amplitude: 0.014511
# ==========
Delay[ps]	Intensity [arb.u.]	Fit [arb.u.]
-2.680873787679E+0	4.980738891770E-3	4.390907299348E-3
-2.680383579349E+0	4.305384465768E-3	4.390907299348E-3
-2.679889859185E+0	4.389803769018E-3	4.390907299348E-3
-2.679389414340E+0	4.220965162517E-3	4.390907299348E-3
-2.678932397522E+0	3.756658994640E-3	4.390907299348E-3
-2.678430970179E+0	4.854109936895E-3	4.390907299348E-3
-2.677918302873E+0	4.600852027144E-3	4.390907299348E-3
-2.677448198292E+0	4.558642375519E-3	4.390907299348E-3
-2.676923880427E+0	4.516432723893E-3	4.390907299348E-3
-2.676417306079E+0	4.558642375519E-3	4.390907299348E-3
-2.675910928650E+0	4.980738891770E-3	4.390907299348E-3
-2.675378617305E+0	4.136545859267E-3	4.390907299348E-3
-2.674890155290E+0	3.798868646266E-3	4.390907299348E-3
-2.674357237361E+0	4.094336207642E-3	4.390907299348E-3
-2.673817387008E+0	4.811900285270E-3	4.390907299348E-3
-2.673325580051E+0	4.263174814142E-3	4.390907299348E-3
-2.672786871291E+0	3.925497601141E-3	4.390907299348E-3
-2.672260943860E+0	3.545610736515E-3	4.390907299348E-3
-2.671721554613E+0	3.672239691390E-3	4.390907299348E-3
-2.671198770666E+0	4.811900285270E-3	4.390907299348E-3
-2.670719253556E+0	4.389803769018E-3	4.390907299348E-3
-2.670164795023E+0	4.938529240145E-3	4.390907299348E-3
-2.669618359880E+0	5.022948543396E-3	4.390907299348E-3
-2.669133884073E+0	4.685271330394E-3	4.390907299348E-3
-2.668573884349E+0	4.305384465768E-3	4.390907299348E-3
-2.668040724461E+0	4.347594117393E-3	4.390907299348E-3
-2.667517579379E+0	4.432013420643E-3	4.390907299348E-3
-2.666969288289E+0	4.896319588520E-3	4.390907299348E-3
-2.666469659749E+0	3.967707252766E-3	4.390907299348E-3
-2.665913663573E+0	3.503401084889E-3	4.390907299348E-3
